840-POS-CSO (Customer Self Ordering) | 10003
840-POS-Drive Thru                   | 10002
840-POS-Front Counter                | 10001
840-POS-HOT (Handheld Order Taker)   | 10004
840-POS-NULL                         | 19999
840-POS-CSO                          | 10003
840-POS-DT                           | 10002
840-POS-FC                           | 10001
840-POS-HOT                          | 10004
840-POS-MFY|10005
840-POS-CBB|10006
840-POS-COLD KIOSK|10008
840-DLVR-EatIn|20001
840-DLVR-TakeOut|20002
840-DLVR-NULL|299999
840-PYMT-$1 Gift Certif.  | 40011
840-PYMT-$5 Gift Book| 40010
840-PYMT-% Discount  | 40018
840-PYMT-Amt Discount| 40012
840-PYMT-Billable Sales   | 40017
840-PYMT-Cashless    | 40019
840-PYMT-Cashless-Amex  | 40007
840-PYMT-Cashless-Credit| 40020
840-PYMT-Cashless-Debit | 40009
840-PYMT-Cashless-Dscvr | 40006
840-PYMT-Cashless-Master| 40005
840-PYMT-Cashless-Visa  | 40004
840-PYMT-Coupon A    | 40013
840-PYMT-Coupon B    | 40014
840-PYMT-Coupon C    | 40015
840-PYMT-Coupon D    | 40016
840-PYMT-Employee Meal    | 40002
840-PYMT-Gift Card-Gift Card | 40008
840-PYMT-Cashless-Gift Card | 40008
840-PYMT-Livingsocial Mac Cer  | 40021
840-PYMT-Manager Meal| 40003
840-PYMT-NULL   | 49999
840-PYMT-US$    | 40001
840-PYMT-Promo  | 40001
840-PYMT-COUPON E|40023
840-PYMT-MXN|40024
840-PYMT-CAD|40025
840-SPLTRX-Crew Discount                                 | 30003
840-SPLTRX-Generic Discount                              | 30007
840-SPLTRX-Manager Discount                              | 30005
840-SPLTRX-NULL                                          | 39999
840-SPLTRX-OVERRING -- Crew Discount                     | 30011
840-SPLTRX-OVERRING -- Generic Discount                  | 30013
840-SPLTRX-OVERRING -- Manager Discount                  | 30012
840-SPLTRX-OVERRING -- Sale                              | 30010
840-SPLTRX-Promo Crew Discount                           | 30020
840-SPLTRX-Promo Generic Discount                        | 30024
840-SPLTRX-Promo Manager Discount                        | 30022
840-SPLTRX-Promo OVERRING -- Crew Discount               | 30028
840-SPLTRX-Promo OVERRING -- Generic Discount            | 30030
840-SPLTRX-Promo OVERRING -- Manager Discount            | 30029
840-SPLTRX-Promo OVERRING -- Sale                        | 30027
840-SPLTRX-Promo REFUND -- Refund                        | 30026
840-SPLTRX-Promo REFUND                                  | 30026
840-SPLTRX-Promo Sale                                    | 30018
840-SPLTRX-REFUND -- Refund                              | 30009
840-SPLTRX-REFUND	                                 | 30009
840-SPLTRX-Recalled - Crew Discount                      | 30004
840-SPLTRX-Recalled - Generic Discount                   | 30008
840-SPLTRX-Recalled - Manager Discount                   | 30006
840-SPLTRX-Recalled - OVERRING -- Crew Discount          | 30015
840-SPLTRX-Recalled - OVERRING -- Generic Discount       | 30017
840-SPLTRX-Recalled - OVERRING -- Manager Discount       | 30016
840-SPLTRX-Recalled - OVERRING -- Sale                   | 30014
840-SPLTRX-Recalled - Promo Crew Discount                | 30021
840-SPLTRX-Recalled - Promo Generic Discount             | 30025
840-SPLTRX-Recalled - Promo Manager Discount             | 30023
840-SPLTRX-Recalled - Promo OVERRING -- Crew Discount    | 30032
840-SPLTRX-Recalled - Promo OVERRING -- Generic Discount | 30034
840-SPLTRX-Recalled - Promo OVERRING -- Manager Discount | 30033
840-SPLTRX-Recalled - Promo OVERRING -- Sale             | 30031
840-SPLTRX-Recalled - Promo Sale                         | 30019
840-SPLTRX-Recalled - Sale                               | 30002
840-SPLTRX-Sale                                          | 30001
840-SPLTRX-RECALLED - REFUND                             | 30035
840-SPLTRX-RECALLED - PROMO REFUND                       | 30036
40-POS-CSO (Customer Self Ordering) | 90
40-POS-CSO                          | 90
40-POS-Drive Thru                   | MissingDrive Thru
40-POS-DT                           | MissingDT
40-POS-Front Counter                | 1
40-POS-FC                           | 1
40-POS-HOT (Handheld Order Taker)   | MissingHOT (Handheld Order Taker) 
40-POS-HOT                          | MissingHot
40-POS-NULL                         | MissingNULL
40-POS-McCafe                       | 32
40-DLVR-EatIn|1
40-DLVR-TakeOut|0
40-DLVR-NULL|MissingNULL
40-SPLTRX-Sale                                          | 000
40-SPLTRX-Recalled - Sale                               | 100
40-SPLTRX-Recalled - OVERRING -- Sale                   | MissingRecalled - OVERRING -- Sale
40-SPLTRX-Promo Sale                                    | 011
40-SPLTRX-Recalled - Promo Sale                         | MissingRecalled - Promo Sale
40-SPLTRX-Recalled - Promo OVERRING -- Sale             | MissingRecalled - Promo OVERRING -- Sale
40-SPLTRX-OVERRING -- Sale                              | MissingOVERRING -- Sale
40-SPLTRX-Promo OVERRING -- Sale                        | MissingPromo OVERRING -- Sale
40-SPLTRX-Crew Discount                                 | 012
40-SPLTRX-Promo Crew Discount                           | MissingPromo Crew Discount
40-SPLTRX-Recalled - Crew Discount                      | MissingRecalled - Crew Discount
40-SPLTRX-OVERRING -- Crew Discount                     | MissingOVERRING -- Crew Discount
40-SPLTRX-Recalled - Promo Crew Discount                | MissingRecalled - Promo Crew Discount
40-SPLTRX-Recalled - OVERRING -- Crew Discount          | MissingRecalled - OVERRING -- Crew Discount
40-SPLTRX-Recalled - Promo OVERRING -- Crew Discount    | MissingRecalled - Promo OVERRING -- Crew Discount
40-SPLTRX-Promo OVERRING -- Crew Discount               | MissingPromo OVERRING -- Crew Discount
40-SPLTRX-REFUND                                        | 014
40-SPLTRX-REFUND -- Refund                              | 014
40-SPLTRX-Promo REFUND                                  | MissingPromo REFUND
40-SPLTRX-Promo REFUND -- Refund                        | MissingPromo REFUND -- Refund
40-SPLTRX-Generic Discount                              | MissingGeneric Discount
40-SPLTRX-Promo Generic Discount                        | MissingPromo Generic Discount
40-SPLTRX-OVERRING -- Generic Discount                  | MissingOVERRING -- Generic Discount
40-SPLTRX-Promo OVERRING -- Generic Discount            | MissingPromo OVERRING -- Generic Discount
40-SPLTRX-Recalled - Generic Discount                   | MissingRecalled - Generic Discount
40-SPLTRX-Recalled - OVERRING -- Generic Discount       | MissingRecalled - OVERRING -- Generic Discount
40-SPLTRX-Recalled - Promo Generic Discount             | MissingRecalled - Promo Generic Discount 
40-SPLTRX-Recalled - Promo OVERRING -- Generic Discount | MissingRecalled - Promo OVERRING -- Generic Discount
40-SPLTRX-Manager Discount                              | MissingManager Discount 
40-SPLTRX-Promo Manager Discount                        | MissingPromo Manager Discount
40-SPLTRX-OVERRING -- Manager Discount                  | MissingOVERRING -- Manager Discount
40-SPLTRX-Promo OVERRING -- Manager Discount            | MissingPromo OVERRING -- Manager Discount
40-SPLTRX-Recalled - Manager Discount                   | MissingRecalled - Manager Discount
40-SPLTRX-Recalled - OVERRING -- Manager Discount       | MissingRecalled - OVERRING -- Manager Discount
40-SPLTRX-Recalled - Promo Manager Discount             | MissingRecalled - Promo Manager Discount
40-SPLTRX-Recalled - Promo OVERRING -- Manager Discount | MissingRecalled - Promo OVERRING -- Manager Discount
40-SPLTRX-NULL                                          | MissingNULL
40-PYMT-EUR   | 0
40-PYMT-WME   | 6
40-PYMT-WSV 2.00   | 11
40-PYMT-DEFAULT   | 21
40-PYMT-MAESTRO   | 22
40-PYMT-MASTERCARD   | 23
40-PYMT-VISA   | 24
40-PYMT-MOBILE PAYMENT   | 25
40-PYMT-Promo  | 0
40-PYMT-Emp Disc | 0
40-PYMT-$1 Gift Certif.  | Missing$1 Gift Certif.
40-PYMT-$5 Gift Book| Missing$5 Gift Book
40-PYMT-% Discount  | Missing% Discount
40-PYMT-Amt Discount| MissingAmt Discount
40-PYMT-Billable Sales   | MissingBillable Sales
40-PYMT-Cashless    | MissingCashless
40-PYMT-Cashless-Amex  | MissingCashless-Amex 
40-PYMT-Cashless-Credit| MissingCashless-Credit
40-PYMT-Cashless-Debit | MissingCashless-Debit
40-PYMT-Cashless-Dscvr | MissingCashless-Dscvr
